Study#,TreatmentInt,Treatment,Group,Assignment#,Alias,Line,Branch,Conditional,Redundancies,AssignmentGrade,Number of Submissions,Avg LC % Change,Avg BC % Change,Avg CC % Change,Avg R % Change,Avg Time Between Submissions
2,1,Raw,A,1,S07,0.14,0.24,0.34,4,57.5,6,0.03367806,0.012544803,0.032395323,-0.063888889,5.797635823
2,1,Raw,A,1,S08,0.3,0.45,0.52,4,62.5,9,0.017024895,0.012796198,0.009359772,0.053968254,7.060193722
2,1,Raw,A,1,S09,0.39,0.43,0.18,1,61.25,8,0.034767187,0.002786228,0.021136618,0.041666667,6.289446176
2,1,Raw,A,1,S10,0.53,0.59,0.49,4,65,4,0.012941919,0.029471089,0.018259936,0.05,8.241915
2,1,Raw,A,1,S11,0.14,0.18,0.43,9,50,8,0.011359286,0.048288533,0.006179811,0.032544192,6.736743202
2,1,Raw,A,1,S12,0.2,0.1,0.41,3,58.75,1,0,0,0,0,0
2,1,Raw,A,1,S13,0.4,0.32,0.37,2,60,3,0.035398884,0,0,-0.333333333,11.76
2,1,Raw,A,1,S14,0.23,0.19,0.11,2,60,2,0.049450549,0,0,0.166666667,6.48
2,1,Raw,A,1,S15,0.59,0.17,0.11,7,55,8,0.023716801,0.006417,0.026799897,0.06299291,6.55769519
2,2,Conceptual,B,1,S01,0.56,0.19,0.13,9,52.5,4,0.200156678,-0.009615385,0.013157895,-0.03125,5.08335375
2,2,Conceptual,B,1,S02,0.54,0.51,0.53,3,66.25,2,0.224637681,0,0,-0.25,3.2625
2,2,Conceptual,B,1,S03,0.15,0.17,0.17,4,57.5,2,0,0.043478261,0,-0.166666667,4.935
2,2,Conceptual,B,1,S04,0.49,0.26,0.35,4,60,2,0.037634409,0.235294118,0,0.166666667,4.14375
2,2,Conceptual,B,1,S05,0.57,0.39,0.52,2,65,5,0.139142575,0.392653173,0.147462118,0.167857143,7.236597144
2,2,Conceptual,B,1,S06,0.56,0.11,0.29,8,52.5,3,-0.006535948,0,-0.006535948,0.091269841,4.25425
2,2,Conceptual,B,1,S07,0.39,0.36,0.48,6,55,5,0.082796892,0.211937083,0.08799854,0.104761905,5.2255488
2,2,Conceptual,B,1,S08,0.53,0.34,0.47,4,62.5,2,0,0,-0.009803922,0.1,1.425
2,2,Conceptual,B,1,S09,0.6,0.39,0.39,7,57.5,1,0,0,0,0,0
2,2,Conceptual,B,1,S10,0.12,0.55,0.26,9,52.5,2,0.166666667,-0.019230769,0,0.178571429,5.00625
2,2,Conceptual,B,1,S11,0.11,0.31,0.24,8,50,3,0.171940928,0.003502391,0,0.111111111,4.3795
2,2,Conceptual,B,1,S12,0.3,0.44,0.25,9,50,1,0,0,0,0,0
2,2,Conceptual,B,1,S13,0.6,0.23,0.26,5,60,3,0.076797386,0,0.001670844,-0.083333333,3.84625
2,2,Conceptual,B,1,S14,0.16,0.25,0.59,1,63.75,1,0,0,0,0,0
2,2,Conceptual,B,1,S15,0.37,0.14,0.52,8,52.5,2,0,0,0.461538462,0,5.76
2,2,Conceptual,B,1,S16,0.1,0.59,0.35,5,57.5,3,0.345898004,0.063492063,0.186058458,0.166666667,5.85075
2,1,Raw,A,2,S01,0.55,0.3,0.34,4,60,5,0.017391304,-0.005825243,0.006101835,0.073333333,6.68945064
2,1,Raw,A,2,S02,0.19,0.45,0.45,5,60,3,0.028985507,0.003367003,0.035398884,0.103174603,8.571675
2,1,Raw,A,2,S03,0.59,0.3,0.4,5,57.5,2,0.005050505,-0.023809524,0,0,11.8125
2,1,Raw,A,2,S04,0.33,0.33,0.48,7,55,5,0.014607948,0.012765957,0.017391304,0.067222222,7.40397504
2,1,Raw,A,2,S05,0.28,0.44,0.55,6,55,3,-0.009708738,0.028985507,0.01754386,0,2.16675
2,1,Raw,A,2,S06,0.36,0.25,0.49,2,62.5,6,0.034650535,0.016483516,0.008627946,-0.027777778,6.74555037
2,1,Raw,A,2,S07,0.5,0.3,0.53,9,55,9,0.009209778,0.021619787,0.028200557,0.02020202,5.114248344
2,1,Raw,A,2,S08,0.39,0.34,0.45,2,62.5,8,0.02849953,0.001865754,0.020936282,0.072916667,6.236406839
2,1,Raw,A,2,S09,0.51,0.31,0.39,3,61.25,2,0,0,0.031914894,0,2.67
2,1,Raw,A,2,S10,0.48,0.45,0.47,4,65,8,0.018848289,0.029179696,0.020742002,-0.047916667,7.698352354
2,1,Raw,A,2,S11,0.4,0.23,0.24,1,61.25,6,0.007690434,0.044974483,0.02385384,0.180555556,8.23183432
2,1,Raw,A,2,S12,0.31,0.22,0.56,6,55,5,0.006101835,0.002574892,0.010526316,0.021904762,5.61422922
2,1,Raw,A,2,S13,0.53,0.44,0.15,3,61.25,5,0.056951744,0.003287194,0.02808817,0.09,7.43917284
2,1,Raw,A,2,S14,0.17,0.42,0.59,4,60,6,0.023427961,0.028119454,0.016176255,0.105753968,9.480296143
2,1,Raw,A,2,S15,0.31,0.58,0.41,8,52.5,9,0.014361539,0.034657161,0.022938587,0.032323232,5.430966157
2,2,Conceptual,B,2,S01,0.69,0.59,0.59,1,71.25,2,0,0.257575758,0.157894737,0.375,4.14
2,2,Conceptual,B,2,S02,0.84,0.78,0.73,5,77.5,2,0.043478261,0.015463918,-0.041284404,0.142857143,6.91125
2,2,Conceptual,B,2,S03,0.5,0.41,0.81,2,71.25,5,0.163218391,0.13968254,0.274150564,0.1,3.22182168
2,2,Conceptual,B,2,S04,0.38,0.79,0.55,5,66.25,3,0,0,0.045454545,0.215909091,5.46975
2,2,Conceptual,B,2,S05,0.55,0.82,0.24,6,63.75,1,0,0,0,0,0
2,2,Conceptual,B,2,S06,0.32,0.2,0.69,6,57.5,1,0,0,0,0,0
2,2,Conceptual,B,2,S07,0.44,0.36,0.71,6,57.5,3,0.281387846,0,0,-0.066666667,4.6906
2,2,Conceptual,B,2,S08,0.72,0.7,0.24,1,71.25,1,0,0,0,0,0
2,2,Conceptual,B,2,S09,0.72,0.7,0.77,3,77.5,4,0.227081138,0.304457003,0.10461581,0.1875,4.9378875
2,2,Conceptual,B,2,S10,0.82,0.53,0.37,3,70,3,0.361471861,0.180964052,0.259259259,0,6.072
2,2,Conceptual,B,2,S11,0.56,0.25,0.76,5,66.25,3,0.384236453,0.0995671,-0.027522936,0.095238095,6.51105
2,2,Conceptual,B,2,S12,0.21,0.25,0.76,2,68.75,1,0,0,0,0,0
2,2,Conceptual,B,2,S13,0.72,0.63,0.75,5,73.75,5,0.159712119,0.26017316,0.042002442,0.1,4.41938934
2,2,Conceptual,B,2,S14,0.45,0.24,0.53,1,66.25,4,0.240196078,0.172424525,-0.006802721,0.375,5.3461395
2,2,Conceptual,B,2,S15,0.67,0.5,0.85,5,71.25,4,-0.002475248,0.343253968,0,0.077380952,4.668315
2,2,Conceptual,B,2,S16,0.55,0.8,0.48,4,71.25,5,0.046656148,0.141886648,0.209253321,0.128888889,4.840963545
2,1,Raw,A,3,S01,0.22,0.2,0.37,9,50,5,0,0.032326738,0.010353535,0.02,6.780705
2,1,Raw,A,3,S02,0.44,0.54,0.38,7,55,4,0.018259936,0.002525253,0.014060903,0.03125,9.175062
2,1,Raw,A,3,S03,0.59,0.65,0.7,8,62.5,7,0.024959052,0.019817743,0.01242236,0.028860029,6.615073193
2,1,Raw,A,3,S04,0.43,0.6,0.47,4,65,1,0,0,0,0,0
2,1,Raw,A,3,S05,0.58,0.49,0.6,4,67.5,6,0.020947576,0.030523175,0.037153572,-0.027777778,8.033916313
2,1,Raw,A,3,S06,0.34,0.66,0.57,8,57.5,9,0.014327931,0.016707583,0.042034511,0.032547699,4.717672231
2,1,Raw,A,3,S07,0.22,0.6,0.7,3,68.75,4,0.013157895,-0.015540161,0.034897025,0.0625,9.182943
2,1,Raw,A,3,S08,0.32,0.57,0.38,7,55,3,0.003367003,-0.009708738,-0.027522936,0.078703704,10.39975
2,1,Raw,A,3,S09,0.7,0.32,0.59,8,57.5,8,0.009779711,-0.000876108,0.018515571,0.024652778,4.887650401
2,1,Raw,A,3,S10,0.36,0.33,0.2,5,55,2,0,-0.004950495,0,0.083333333,8.53125
